id,Response
381110,0.0004271076679044584
381111,0.29696212507182473
381112,0.29723865056948906
381113,0.005886075161025336
381114,0.0003789827934317506
381115,0.00033416434580361607
381116,0.000692829466339607
381117,0.0003649109360210935
381118,0.36832709382872886
381119,0.001235200757533838
381120,0.001441809288243308
381121,0.21363793387268964
381122,0.00045540000249216675
381123,0.3253702742495859
381124,0.16771725717532104
381125,0.0006711129214833852
381126,0.14348653738465825
381127,0.29578700162192906
381128,0.0003724796437080912
381129,0.00030971580064111635
381130,0.0002342870000532366
381131,0.0002758828221744273
381132,0.05892592279710066
381133,0.30581899494855147
381134,0.18083708108776472
381135,0.0003080880787548814
381136,0.00027375223648885377
381137,0.001101695534240367
381138,0.0013337955914320407
381139,0.0002613080385405144
381140,0.11764009784165132
381141,0.00027942899968743496
381142,0.0005344291296277356
381143,0.0004272417675436471
381144,0.10926838183486015
381145,0.2964423894128839
381146,0.00035344527006238514
381147,0.0374538831123725
381148,0.00038439253331983843
381149,0.0008308748594503108
381150,0.3027331719387275
381151,0.2936776869427766
381152,0.0005644441370165909
381153,0.2717496486353323
381154,0.393104921742983
381155,0.38507421391495256
381156,0.0004903156100620761
381157,0.020219350939249807
381158,0.28859615316050713
381159,0.14471711308075333
381160,0.32762982006633706
381161,0.005745651464101472
381162,0.000324935146886858
381163,0.29963045547328204
381164,0.0003796634895332346
381165,0.14265919272845737
381166,0.21807233955079172
381167,0.0004252316895209482
381168,0.00041533227309110195
381169,0.03741127773785656
381170,0.0003556049656285266
381171,0.0004985428977611654
381172,0.36680434463983336
381173,0.10298225954673852
381174,0.00026584020792990305
381175,0.00030529209618999393
381176,0.0006263296351087448
381177,0.2999312233329323
381178,0.1683709489404416
381179,0.0005239149675590162
381180,0.022391850585571544
381181,0.0002227106137173533
381182,0.22611381745515055
381183,0.00027967024656018035
381184,0.0049081571731110895
381185,0.0004277707134814149
381186,0.37641874802590425
381187,0.44669356712701874
381188,0.21586308214716235
381189,0.0701042876784419
381190,0.0009565782485265503
381191,0.19958627941748613
381192,0.18186190621573212
381193,0.0038022612140819973
381194,0.21390360767323902
381195,0.06732838675395389
381196,0.0004924338308090934
381197,0.03656757273168666
381198,0.1417658805520926
381199,0.4431520926894491
381200,0.000430793564256507
381201,0.0009809350962652322
381202,0.29352663645212324
381203,0.5073419565501016
381204,0.08264919645551379
381205,0.00027833931950329395
381206,0.0872341142311195
381207,0.0002623945469409735
381208,0.02915766465460224
381209,0.0003275998469128467
381210,0.17267548078143707
381211,0.00015078118740844584
381212,0.3312165572676599
381213,0.27002040453504605
381214,0.17991583698771926
381215,0.06892400600263626
381216,0.05548907170186224
381217,0.000318598222313788
381218,0.3373081557706929
381219,0.19156653487786482
381220,0.0012384812253928175
381221,0.3021121121759751
381222,0.0003821631363413191
381223,0.00107032085752574
381224,0.10723711713175565
381225,0.38671563769680045
381226,0.35685644376203496
381227,0.3078977174398969
381228,0.03160194380963637
381229,0.22420450046573914
381230,0.0002946605355659423
381231,0.00029681072079927823
381232,0.34394986440561165
381233,0.00033184438885500405
381234,0.3124449079628338
381235,0.00032320070572247834
381236,0.14478915416864685
381237,0.0002707764375496408
381238,0.0002764581198654626
381239,0.0002924001018030855
381240,0.0002484729836183034
381241,0.2750262520103534
381242,0.0002950885831879733
381243,0.0009980729265146458
381244,0.0943174750434489
381245,0.0003247823515803511
381246,0.3461810884663191
381247,0.37997918442123907
381248,0.0002937860871231781
